marca_descripcion,marca_id
BRN,740
BROAN,741
BROCADE,6627
BROCAMEX,742
BROKSONIC,743
BRONTON,746
BROOK,747
BROTHER,749
BROTON,753
BROWN,755
BRUNTON,756
Bsepas,801
BTC,766
BUCHI,769
BUCK SCIENTIFIC,772
BUEKEL,774
BUFFALO,775
BUHER,776
BUHL,777
BULB NOVA,767
BULLARD,779
BUNDY Y DIGGINS,780
BUNN,781
BURLE SECURITY,785
BURREL SCIENTIFIC,787
BURROWS,788
BURTON,789
BUSISA,792
BUTLER,793
BUTRON,794
BW TECHNOLOGIES,795
C E M,802
C.A.I. INC,808
CABAS,816
CABHERS,819
CABHORS,820
CABI,821
CAFIT,822
CAHERES,823
CAHN,825
CAISA,826
CALCOM,832
CALOREX,833
CALPINI,834
CALTIPO,836
CAMBO,839
CAMBOSA,840
CAMBRON,841
CAMEL,842
CAMESA,843
CAMNEL,844
CAMOSA,845
CAMPBELL HAUSFELD,838
CAMPOS,848
CAMPOS HERMANOS,849
CANDELAR,850
CANGURO,851
CANON,852
CAPRI,861
CAPTIVE WORK,813
CARABELA,863
CARDENAL,864
CARDIING MACHINE,865
CAREFRE,866
CAREM,867
CARL ZEISS,878
CARRIER,223
CARTON,903
CASAVARIAN,905
CASE,906
CASIO,907
CASPER,908
CASTELL,910
CASTILLO,914
CASTLE,915
CATCH,921
CATERPILLAR,924
CAUDAL,926
CAVAZOS,929
CAVHERS,931
CE RAYMOND,936
CEA CARTER,937
CECSA,941
CELLSTAR,943
CEMEX,944
CENIT,945
CENTAURO,946
CENTENARIO,947
CENT-O-GRAM,960
CENTRA,950
CENTRAL,951
CENTRAL TOOL,6551
CENTRONICS,954
CENTURY,948
CERBERUS PYROTRONICS,957
CEREZO,958
CERVINE,961
CES,6584
CESSNA,6552
CHAMPION,965
CHAN,967
CHAPARRAL,968
CHARLES BESELER,969
CHARNELA,970
CHATILLON,972
CHAUG,973
CHAUS,974
CHEF STAR,977
CHERRY RIVET,6553
CHESTERMAN,980
CHEVROLET,982
CHICAGO,990
CHICONY,991
CHINAR,992
CHINON,993
CHOPERENA,1000
CHRISTIE,6554
CHROMECA,1006
CHRYSLER,1007
CHYO JUPITER,1009
CIA-MEX,1012
CIASA,1016
CIFARELLI,1019
CIFRA,1021
CIMA,1023
CIMAC,1030
CIME,1032
CIMSSA,1036
CINA,1037
CINABDER,1038
CINSA,1040
CIRCLE,1041
CIRENSE,1042
CIRENT,1043
CISCO SYSTEMS,1045
CITIZEN SYSTEMS,1052
CITOH,1053
CIUDEM,1054
CLASSIC,1055
CLAY ADAMS,1058
CLAYTON,1062
CLEAVER BROOKS,1065
CLIMAUTO,1066
CLIPPER,1067
CMMA,1077
COATCYCLE,1081
COBLEX,1082
COBOS,1083
COBRA,1084
COLBAT,1086
COLDESPOT,1070
COLE PARMER INSTRUMENT,1091
COLEMAN,1093
COLEMAN INSTRUMENTS,1092
COLLOVX,1097
COLONIAL,1098
COLORINES,1099
COLUMBIA,1100
COMAG,1125
COMANC,1105
COMANCHE,1106
COMAND,1107
COMANDER,1108
COMBOY,1116
COMEO,1117
COMET,1118
COMET-MEX,1119
COMFORTABL,1120
COMFORTSTAR,1121
COMING,1122
COMMAND,1126
COMODINA,1129
COMODISSA,1130
COMODO,1132
COMPACTO,1141
COMPANY,1143
COMPAQ,1144
COMPASS,1163
COMPLE,1166
COMPLET,1167
COMPLETER,5632
COMPUAD,1170
COMSA,1171
CONAIRTECH,1172
CONAS,1173
CONDO,1176
CONDICTRONIC,1177
CONDUCTORES MONTERREY,1178
CONDUCTRONIC,1181
CONFORT,1184
CONHER,1187
CONING,1188
CONSENTRIX,1189
CONSEP,1190
CONSTAR,1192
CONSUL,1195
CONSUL JR,1196
CONSULTEN,1197
CONTEMPO,1199
CONTINENTAL,1202
CONTIVITY,1203
CONTROL,1204
COOL,1206
COOLING,1207
COPACABANA,1208
COPELEMATIC,1209
COPLAND RR,1210
COPRUM,1212
CORDELL,1214
CORDINA,1215
CORET,1216
CORIAT,1217
CORMICK,1219
CORNING,1222
CORONA,1224
CORTI,1226
CORZO,1228
COS-DEX,1230
COSINA,1232
COSMO,1233
COSTAR,1235
COSTCO,1231
COWEN,1238
CP CIPSA,1239
CPA,1240
CRACK,1244
CRAFTSMAN,1249
CRANE,1250
CRANE DEMING,1425
CREATIVE,1251
CREDENZA,1252
CRESTLINER,1253
CRICUT MARKER,1256
CRIPPEN,1257
CRISA,1259
CRM,1260
CROLLS,1263
CROSS,1267
CROWN,1268
CRYENCO,1269
CRYSTEL,1271
CST BERGER,6703
CTT,1272
CUERVO,1273
CUMA,1275
CUMASA,1276
CUPRUM,1277
CURTIS,1278
CUSTOM,1279
CYCLONE,1281
CYLINK,1282
CYLSA,1284
CYMA,1285
CYTSA,1022
D BASE,1292
D.ELSA,1306
D.M. NACIONAL,1291
DACASA,1350
DAEWOO,1351
DA-LITE,1346
DAMAS,1357
DAMON,1358
DANAE,1360
DANATRONICS,1361
DANESA,1364
DAPROD,1365
DASA,1366
DATA,1367
DATA AIR ELECTRIC,1383
DATA FLUX,1368
DATA PROD,1369
DATA PRODU,1370
DATA PRU,1371
DATACPRODU,1374
DATAMAT,1376
DATAMATE,6555
DATAPRODUCTS,1378
DATASHIELD,1384
DATEL,1385
DATSUN,1386
DAVID BROWN,1387
DAYTON,1391
DBASE IV,1393
DCTECO ESCALOS,1394
DE LLANO,1396
DE LONGHI,1418
DE SECCHI,5256
DECORT,1399
DEFENSOR,1401
DEHESA,1402
DELCO REMY,1405
DELHER,1406
DELL,1407
DELTA,1420
DELTAGLEX,1421
DELUXE,1423
DELVIVI,1424
DEMIS,1426
DENNON,1427
DERBEZ,1430
DETAGLIA,1435
DETECTO,1438
DETEX,1439
DETROIT,1440
DEVAL,1441
DEVANE,1442
